_code,ticker,company_name,country,gics_sector,gics_industry_group,gics_industry,last_include,first_include
CNE100000536,2866 HK Equity,COSCO SHIPPING Development Co Ltd,CH,20,2010,201070,2018-11-30,2014-03-01
CNE1000008F2,601866 C1 Equity,COSCO SHIPPING Development Co Ltd,CH,20,2010,201070,2024-05-31,2018-06-01
CNE000001BD6,600026 C1 Equity,COSCO SHIPPING Energy Transportation Co Ltd,CH,10,1010,101020,2024-05-31,2019-12-01
CNE1000002S8,1138 HK Equity,COSCO SHIPPING Energy Transportation Co Ltd,CH,10,1010,101020,2024-05-31,2018-06-01
CNE1000002J7,1919 HK Equity,COSCO SHIPPING Holdings Co Ltd,CH,20,2030,203030,2024-05-31,2014-03-01
CNE100000601,601919 C1 Equity,COSCO SHIPPING Holdings Co Ltd,CH,20,2030,203030,2024-05-31,2018-06-01
CNE100000BG0,1766 HK Equity,CRRC Corp Ltd,CH,20,2010,201060,2024-05-31,2014-03-01
CNE100000CP9,601766 C1 Equity,CRRC Corp Ltd,CH,20,2010,201060,2024-05-31,2018-06-01
CNE1000031T5,601066 C1 Equity,CSC Financial Co Ltd,CH,40,4020,402030,2024-05-31,2019-12-01
CNE100003K04,300765 C2 Equity,CSPC Innovation Pharmaceutical Co Ltd,CH,35,3520,352020,2024-05-31,2023-12-01
HK1093012172,1093 HK Equity,CSPC Pharmaceutical Group Ltd,CH,35,3520,352020,2024-05-31,2014-03-01
CNE000000QR6,600072 C1 Equity,CSSC Science & Technology Co Ltd,CH,20,2010,201030,2024-05-31,2023-12-01
CNE100002V44,601108 C1 Equity,Caitong Securities Co Ltd,CH,40,4020,402030,2024-05-31,2019-06-01
CNE1000041R8,688256 C1 Equity,Cambricon Technologies Corp Ltd,CH,45,4530,453010,2024-05-31,2023-06-01
CNE100003F01,6185 HK Equity,CanSino Biologics Inc,CH,35,3520,352010,2022-11-30,2020-06-01
CNE100004BM0,688185 C1 Equity,CanSino Biologics Inc,CH,35,3520,352010,2022-11-30,2021-06-01
CNE100001XM0,300390 C2 Equity,Canmax Technologies Co Ltd,CH,15,1510,151010,2024-05-31,2021-12-01
CNE100004447,688065 C1 Equity,Cathay Biotech Inc,CH,15,1510,151010,2024-05-31,2023-12-01
CNE100000GV8,300012 C2 Equity,Centre Testing International Group Co Ltd,CH,20,2020,202020,2021-02-28,2019-12-01
CNE1000010Q5,002557 C2 Equity,Chacha Food Co Ltd,CH,30,3020,302020,2023-02-28,2020-06-01
CNE0000007J8,000661 C2 Equity,Changchun High-Tech Industry Group Co Ltd,CH,35,3520,352020,2024-05-31,2019-12-01
CNE000000SH3,000783 C2 Equity,Changjiang Securities Co Ltd,CH,40,4020,402030,2024-05-31,2018-06-01
CNE1000011H2,601799 C1 Equity,Changzhou Xingyu Automotive Lighting Systems Co Ltd,CH,25,2510,251010,2024-05-31,2019-12-01
CNE100001Y42,300408 C2 Equity,Chaozhou Three-Circle Group Co Ltd,CH,45,4520,452030,2024-05-31,2019-06-01
CNE1000020C4,002773 C2 Equity,Chengdu Kanghong Pharmaceutical Group Co Ltd,CH,35,3520,352020,2021-05-31,2019-12-01
CNE000000HN4,000598 C2 Equity,Chengdu Xingrong Environment Co Ltd,CH,55,5510,551040,2020-11-30,2019-12-01
CNE000000KN8,600711 C1 Equity,Chengtun Mining Group Co Ltd,CH,15,1510,151040,2023-05-31,2021-12-01
CNE100000BN6,002240 C2 Equity,Chengxin Lithium Group Co Ltd,CH,15,1510,151010,2024-05-31,2021-12-01
CNE000001H94,600988 C1 Equity,Chifeng Jilong Gold Mining Co Ltd,CH,15,1510,151040,2024-05-31,2020-12-01
CNE000000J93,600879 C1 Equity,China Aerospace Times Electronics Co Ltd,CH,20,2010,201010,2021-08-31,2019-12-01
KYG2119Z1090,3883 HK Equity,China Aoyuan Group Ltd,CH,60,6020,602010,2021-11-30,2019-06-01
CNE000000222,000009 C2 Equity,China Baoan Group Co Ltd,CH,20,2010,201050,2024-05-31,2021-09-01
CNE1000002D0,3983 HK Equity,China BlueChemical Ltd,CH,15,1510,151010,2014-11-30,2014-03-01
CNE100003YB7,9668 HK Equity,China Bohai Bank Co Ltd,CH,40,4010,401010,2022-05-31,2020-12-01
CNE1000000R4,601998 C1 Equity,China CITIC Bank Corp Ltd,CH,40,4010,401010,2020-11-30,2018-06-01
CNE1000001Q4,998 HK Equity,China CITIC Bank Corp Ltd,CH,40,4010,401010,2024-05-31,2014-03-01
CNE100002367,2799 HK Equity,China CITIC Financial Asset Management Co Ltd,CH,40,4020,402030,2021-05-31,2016-12-01
CNE100001SC1,1773005D HK Equity,China CNR Corp Ltd,CH,20,2010,201060,2015-05-31,2015-03-01
CNE000000W05,600150 C1 Equity,China CSSC Holdings Ltd,CH,20,2010,201060,2024-05-31,2021-06-01
CNE100001QS1,1359 HK Equity,China Cinda Asset Management Co Ltd,CH,40,4020,402030,2024-05-31,2014-03-01
CNE100000528,1898 HK Equity,China Coal Energy Co Ltd,CH,10,1010,101020,2024-05-31,2014-03-01
CNE1000002F5,1800 HK Equity,China Communications Construction Co Ltd,CH,20,2010,201030,2021-02-28,2014-03-01
CNE100001FN5,601800 C1 Equity,China Communications Construction Co Ltd,CH,20,2010,201030,2021-02-28,2018-06-01
CNE1000002G3,552 HK Equity,China Communications Services Corp Ltd,CH,20,2010,201030,2024-05-31,2014-03-01
KYG2116J1085,586 HK Equity,China Conch Venture Holdings Ltd,CH,20,2010,201030,2023-11-30,2015-06-01
CNE1000002H1,939 HK Equity,China Construction Bank Corp,CH,40,4010,401010,2024-05-31,2014-03-01
CNE100000742,601939 C1 Equity,China Construction Bank Corp,CH,40,4010,401010,2024-05-31,2018-06-01
KYG2120T1004,667 HK Equity,China East Education Holdings Ltd,CH,25,2530,253020,2021-11-30,2019-12-01
CNE1000002K5,670 HK Equity,China Eastern Airlines Corp Ltd,CH,20,2030,203020,2020-11-30,2018-06-01
CNE000000TR0,600115 C1 Equity,China Eastern Airlines Corp Ltd,CH,20,2030,203020,2024-05-31,2018-06-01
CNE100004QL0,601868 C1 Equity,China Energy Engineering Corp Ltd,CH,20,2010,201030,2024-05-31,2022-03-01
CNE000000B42,600675 C1 Equity,China Enterprise Co Ltd,CH,60,6020,602010,2020-11-30,2019-12-01
CNE100000SL4,601818 C1 Equity,China Everbright Bank Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100001QW3,6818 HK Equity,China Everbright Bank Co Ltd,CH,40,4010,401010,2024-05-31,2014-06-01
KYG2119W1069,3333 HK Equity,China Evergrande Group,CH,60,6020,602010,2022-05-31,2014-03-01
KYG2121Q1055,6186 HK Equity,China Feihe Ltd,CH,30,3020,302020,2024-05-31,2020-06-01
CNE100002GX0,600977 C1 Equity,China Film Co Ltd,CH,50,5020,502020,2024-05-31,2018-06-01
CNE000001GG8,600340 C1 Equity,China Fortune Land Development Co Ltd,CH,60,6020,602010,2021-11-30,2018-06-01
CNE100001NT6,6881 HK Equity,China Galaxy Securities Co Ltd,CH,40,4020,402030,2024-05-31,2014-12-01
CNE100002FG7,601881 C1 Equity,China Galaxy Securities Co Ltd,CH,40,4020,402030,2024-05-31,2020-06-01
CNE000000QF1,600068 C1 Equity,China Gezhouba Group Co Ltd,CH,20,2010,201030,2021-05-31,2018-06-01
CNE000001576,600297 C1 Equity,China Grand Automotive Services Group Co Ltd,CH,25,2550,255040,2020-05-31,2018-06-01
CNE100003GD0,002939 C2 Equity,China Great Wall Securities Co Ltd,CH,40,4020,402030,2024-05-31,2020-06-01
CNE000000RL7,000066 C2 Equity,China Greatwall Technology Group Co Ltd,CH,45,4520,452020,2024-05-31,2019-12-01
KYG211501005,1378 HK Equity,China Hongqiao Group Ltd,CH,15,1510,151040,2024-05-31,2018-12-01
KYG2117A1067,6863 HK Equity,China Huishan Dairy Holdings Co Ltd,CH,30,3020,302020,2017-08-31,2014-06-01
CNE100002359,3908 HK Equity,China International Capital Corp Ltd,CH,40,4020,402030,2024-05-31,2018-06-01
CNE1000048J0,601995 C1 Equity,China International Capital Corp Ltd,CH,40,4020,402030,2024-05-31,2021-03-01
CNE100001NN9,2039 HK Equity,China International Marine Containers Group Co Ltd,CH,20,2010,201060,2018-11-30,2014-03-01
CNE000000644,000039 C2 Equity,China International Marine Containers Group Co Ltd,CH,20,2010,201060,2020-05-31,2018-06-01
CNE000000YM1,600176 C1 Equity,China Jushi Co Ltd,CH,15,1510,151020,2024-05-31,2019-12-01
KYG2157Q1029,2128 HK Equity,China Lesso Group Holdings Ltd,CH,20,2010,201020,2023-08-31,2019-12-01
CNE000001Q93,601628 C1 Equity,China Life Insurance Co Ltd,CH,40,4030,403010,2024-05-31,2018-06-01
CNE1000002L3,2628 HK Equity,China Life Insurance Co Ltd,CH,40,4030,403010,2024-05-31,2014-03-01
KYG2121R1039,772 HK Equity,China Literature Ltd,CH,50,5020,502010,2024-05-31,2018-06-01
CNE100000HD4,916 HK Equity,China Longyuan Power Group Corp Ltd,CH,55,5510,551050,2024-05-31,2014-03-01
CNE000000Q29,600056 C1 Equity,China Meheco Co Ltd,CH,35,3510,351020,2024-02-29,2019-12-01
KYG211921021,1268 HK Equity,China Meidong Auto Holdings Ltd,CH,25,2550,255040,2023-11-30,2020-12-01
KYG210961051,2319 HK Equity,China Mengniu Dairy Co Ltd,CH,30,3020,302020,2024-05-31,2014-03-01
CNE000001B33,600036 C1 Equity,China Merchants Bank Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE1000002M1,3968 HK Equity,China Merchants Bank Co Ltd,CH,40,4010,401010,2024-05-31,2014-03-01
CNE000001PQ8,601872 C1 Equity,China Merchants Energy Shipping Co Ltd,CH,10,1010,101020,2024-05-31,2019-12-01
CNE1000032B1,001965 C2 Equity,China Merchants Expressway Network & Technology Holdings Co Ltd,CH,20,2030,203050,2024-05-31,2024-03-01
CNE000000H95,001914 C2 Equity,China Merchants Property Operation & Service Co Ltd,CH,60,6020,602010,2021-11-30,2020-06-01
CNE100000HK9,600999 C1 Equity,China Merchants Securities Co Ltd,CH,40,4020,402030,2024-05-31,2018-06-01
CNE100002FC6,001979 C2 Equity,China Merchants Shekou Industrial Zone Holdings Co Ltd,CH,60,6020,602010,2024-05-31,2018-06-01
CNE0000015Y0,600016 C1 Equity,China Minsheng Banking Corp Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100000HF9,1988 HK Equity,China Minsheng Banking Corp Ltd,CH,40,4010,401010,2024-05-31,2014-03-01
CNE0000009N6,000028 C2 Equity,China National Accord Medicines Corp Ltd,CH,35,3510,351020,2021-05-31,2019-12-01
CNE1000002N9,3323 HK Equity,China National Building Material Co Ltd,CH,15,1510,151020,2024-05-31,2014-03-01
CNE100000KC0,601117 C1 Equity,China National Chemical Engineering Co Ltd,CH,20,2010,201030,2024-05-31,2018-06-01
CNE000001D56,600511 C1 Equity,China National Medicines Corp Ltd,CH,35,3510,351020,2024-05-31,2019-12-01
CNE1000022N7,601985 C1 Equity,China National Nuclear Power Co Ltd,CH,55,5510,551050,2024-05-31,2018-06-01
CNE000001BB0,600536 C1 Equity,China National Software & Service Co Ltd,CH,45,4510,451030,2024-05-31,2019-12-01
CNE000000T18,600111 C1 Equity,China Northern Rare Earth Group High-Tech Co Ltd,CH,15,1510,151040,2024-05-31,2018-06-01
CNE100002896,601611 C1 Equity,China Nuclear Engineering & Construction Corp Ltd,CH,20,2010,201030,2018-11-30,2018-06-01
CNE1000002P4,2883 HK Equity,China Oilfield Services Ltd,CH,10,1010,101010,2024-05-31,2014-03-01
BMG2108V1019,581 HK Equity,China Oriental Group Co Ltd,CH,15,1510,151040,2019-11-30,2018-12-01
